Transaction_ID,Customer_ID,Transaction_Date,Transaction_Time,Transaction_Type,Amount_NGN,Channel,Device_Type,Location,International_Transaction,Transaction_Status,Risk_Review_Flag
FT-T000001,FT-C01135,1/1/2026,12:00:00 AM,Unknown,5074,Mobile App,Android,Enugu,No,Reversed,Yes
FT-T000002,FT-C00428,1/1/2026,12:10:00 AM,Cash Withdrawal,11681,ATM,Android,Kaduna,No,Successful,Yes
FT-T000003,FT-C00469,1/1/2026,12:21:00 AM,Transfer,572,ATM,POS Terminal,Kano,No,Successful,No
FT-T000004,FT-C01015,1/1/2026,12:32:00 AM,Deposit,105368,Mobile App,Web Browser,Abuja,No,Successful,No
FT-T000005,FT-C00870,1/1/2026,12:43:00 AM,Cash Withdrawal,3049,Mobile App,POS Terminal,Abuja,No,Successful,No
FT-T000006,FT-C00770,1/1/2026,12:54:00 AM,Airtime/Data,176,POS,Android,Port Harcourt,No,Successful,No
FT-T000007,FT-C00680,1/1/2026,1:04:00 AM,Airtime/Data,18734,Mobile App,Android,Lagos,No,Successful,No
FT-T000008,FT-C00805,1/1/2026,1:15:00 AM,Card Purchase,6702,Web,Android,Kaduna,No,Successful,No
FT-T000009,FT-C00886,1/1/2026,1:26:00 AM,Airtime/Data,10504,POS,ATM Terminal,Ibadan,No,Successful,No
FT-T000010,FT-C00561,1/1/2026,1:37:00 AM,Airtime/Data,16529,Mobile App,ATM Terminal,Benin City,No,Successful,Yes
FT-T000011,FT-C01274,1/1/2026,1:48:00 AM,Cash Withdrawal,205633,USSD,iOS,Enugu,No,Successful,No
FT-T000012,FT-C00331,1/1/2026,1:58:00 AM,Card Purchase,16213,Web,iOS,Enugu,No,Successful,Yes
FT-T000013,FT-C00587,1/1/2026,2:09:00 AM,Bill Payment,718,Web,iOS,Enugu,No,Successful,No
FT-T000014,FT-C00201,1/1/2026,2:20:00 AM,Transfer,22208,Mobile App,POS Terminal,Kaduna,No,Successful,No
FT-T000015,FT-C00454,1/1/2026,2:31:00 AM,Cash Withdrawal,16665,POS,Android,Port Harcourt,No,Successful,Yes
FT-T000016,FT-C00826,1/1/2026,2:42:00 AM,Transfer,740,USSD,Web Browser,Kano,No,Successful,No
FT-T000017,FT-C00111,1/1/2026,2:52:00 AM,Cash Withdrawal,5426,Mobile App,Android,Abuja,No,Successful,No
FT-T000018,FT-C00864,1/1/2026,3:03:00 AM,Airtime/Data,1296,Web,Android,Port Harcourt,No,Successful,No
FT-T000019,FT-C00908,1/1/2026,3:14:00 AM,Transfer,1495,Mobile App,iOS,Ibadan,No,Failed,No
FT-T000020,FT-C01233,1/1/2026,3:25:00 AM,Bill Payment,524,Mobile App,iOS,Kano,No,Successful,No
FT-T000021,FT-C00033,1/1/2026,3:36:00 AM,Transfer,86152,Mobile App,iOS,Abuja,No,Reversed,No
FT-T000022,FT-C00555,1/1/2026,3:46:00 AM,Bill Payment,45562,POS,Android,Abuja,No,Successful,No
FT-T000023,FT-C00107,1/1/2026,3:57:00 AM,Bill Payment,1683,USSD,Web Browser,Enugu,No,Successful,No
FT-T000024,FT-C01289,1/1/2026,4:08:00 AM,Transfer,513,POS,Web Browser,Ibadan,No,Successful,Yes
FT-T000025,FT-C00226,1/1/2026,4:19:00 AM,Cash Withdrawal,136149,Web,Web Browser,Kaduna,No,Successful,No
FT-T000026,FT-C00487,1/1/2026,4:30:00 AM,Deposit,2405,POS,Android,Benin City,No,Successful,No
FT-T000027,FT-C00179,1/1/2026,4:40:00 AM,Card Purchase,3957,POS,Android,Enugu,No,Pending,No
FT-T000028,FT-C01246,1/1/2026,4:51:00 AM,Bill Payment,3476,Web,POS Terminal,Ibadan,No,Successful,No
FT-T000029,FT-C01394,1/1/2026,5:02:00 AM,Bill Payment,1194,USSD,iOS,Ibadan,No,Successful,No
FT-T000030,FT-C00637,1/1/2026,5:13:00 AM,Transfer,29377,Mobile App,iOS,Kano,No,Successful,Yes
FT-T000031,FT-C00788,1/1/2026,5:24:00 AM,Airtime/Data,30138,Mobile App,POS Terminal,Benin City,No,Successful,No
FT-T000032,FT-C00167,1/1/2026,5:34:00 AM,Cash Withdrawal,17056,Mobile App,Android,Enugu,No,Successful,No
FT-T000033,FT-C00663,1/1/2026,5:45:00 AM,Card Purchase,151363,Mobile App,ATM Terminal,Kano,No,Successful,No
FT-T000034,FT-C00300,1/1/2026,5:56:00 AM,Transfer,1830,Mobile App,iOS,Port Harcourt,No,Successful,Yes
FT-T000035,FT-C01405,1/1/2026,6:07:00 AM,Card Purchase,68295,USSD,iOS,Ibadan,No,Successful,No
FT-T000036,FT-C00035,1/1/2026,6:18:00 AM,Bill Payment,1950,ATM,Android,Unspecified,No,Successful,No
FT-T000037,FT-C00407,1/1/2026,6:28:00 AM,Cash Withdrawal,3988,ATM,POS Terminal,Lagos,No,Successful,No
